#{"t_start": 1701552710.714974, "env_id": "Ant-v4"}
r,l,t
-51.990743,159,0.218414
-78.127854,346,1.941752
-17.178385,31,1.949675
-52.483044,206,2.002398
-64.958553,81,2.023894
-17.279712,33,2.032314
6.280641,66,2.048997
-324.39361,1000,5.609961
-14.50406,83,7.235348
-9.144382,42,7.245487
-26.796691,37,7.255252
-64.56707,187,7.300204
-45.21543,39,7.309957
-14.679185,34,7.318446
-25.150127,83,7.338975
-2.120916,13,7.342205
-5.804678,81,8.958622
-4.192894,89,8.980644
-19.332683,58,8.994802
-39.070336,78,9.013683
-235.034886,1000,12.476443
-35.355782,82,12.497113
-52.102805,82,12.517476
-11.263539,28,12.524503
-39.818777,53,12.538325
1.810521,17,14.149835
-45.303045,90,14.173043
-365.411763,1000,17.657381
14.482723,94,17.680969
-34.926563,132,17.713097
-42.765845,80,17.734762
-20.489359,45,17.748325
-91.66424,101,19.386255
-367.349812,1000,22.905428
-26.947882,64,22.921421
7.260912,48,22.933513
-57.667035,65,22.949505
0.01666,142,22.984218
-317.592388,1000,26.512608
-5.968815,16,26.516604
-7.494206,77,26.535656
-31.231415,101,28.169048
1.329701,146,28.205924
-16.057944,145,28.241675
-292.360592,1000,31.693684
8.39634,34,31.702383
-39.938042,47,31.713942
-91.68323,183,33.357982
-18.566825,32,33.366695
27.379343,39,33.376424
-32.613931,46,33.388012
-48.550659,102,33.413396
-137.516095,241,35.511266
-43.414357,97,36.082428
-13.582872,20,36.196503
-12.98786,100,36.808885
-67.446181,77,37.249862
-4.843358,12,37.319326
-25.3674,58,37.651678
-442.49245,1000,46.749152
-23.795286,88,48.903047
-0.072619,22,49.032818
-8.831768,16,49.124134
-73.068961,152,50.051392
-527.179711,1000,59.269252
-18.424867,44,59.523504
-39.598694,148,60.402515
-482.059893,1000,69.431992
-27.48732,142,71.633997
0.708447,13,71.707558
-69.513002,154,72.591781
-70.376283,108,73.212796
9.687993,25,73.354343
-483.483742,1000,82.048897
-23.78067,58,82.378657
-461.106992,1000,91.033071
-21.543453,89,93.166931
-442.148284,1000,101.85076
-119.702821,224,103.23406
-97.387572,221,104.685676
-338.942986,1000,113.43402
-79.38871,220,116.281491
-7.360809,39,116.519052
-269.007066,1000,125.154773
-51.120256,129,125.892408
-167.936482,1000,134.440615
-9.24739,183,137.104055
-13.187742,176,138.110522
-6.236172,182,139.156836
139.259365,1000,148.098169
97.41376,891,156.175521
266.624013,629,160.964366
521.858863,1000,169.964787
511.01601,1000,178.940813
533.318613,1000,187.978482
570.583458,1000,197.013787
596.536696,1000,205.879025
693.532199,1000,212.864955
626.188833,1000,213.176866
675.605621,1000,213.489777
633.329874,1000,213.791251
637.387838,1000,214.090684
653.067735,1000,214.404656
683.521071,1000,214.71965
699.131905,1000,215.033539
734.555458,1000,215.347838
693.040506,1000,215.661988
668.569642,1000,215.975114
673.92091,1000,216.276041
650.437296,1000,216.576948
657.136878,1000,216.891652
677.260709,1000,217.196069
650.232549,1000,217.507864
656.0571,1000,217.818854
637.395874,1000,218.131274
647.488526,1000,218.444413
628.376018,1000,218.759763
677.077291,1000,219.073649
636.813317,1000,219.370958
669.629398,1000,219.671171
637.789308,1000,219.969841
670.970948,1000,220.281719
669.932148,1000,220.595842
735.558213,1000,220.910523
688.990663,1000,221.211477
646.708769,1000,221.523409
657.7823,1000,221.835509
673.362576,1000,222.150181
655.205056,1000,222.46424
636.202039,1000,222.765566
645.176739,1000,223.078814
676.674221,1000,223.376919
678.450576,1000,223.692367
645.234899,1000,223.991283
683.879689,1000,224.305282
634.183255,1000,224.617673
671.585962,1000,224.932699
695.784367,1000,225.24481
667.661062,1000,225.558506
647.835585,1000,225.87305
713.801524,1000,226.186494
644.162734,1000,226.484797
634.047039,1000,226.781091
680.52188,1000,227.094731
632.960336,1000,227.397538
693.279495,1000,227.698145
639.982941,1000,228.009648
654.943173,1000,228.30763
654.856488,1000,228.62088
698.969356,1000,228.933761
673.347735,1000,229.246686
662.321292,1000,229.546083
693.778636,1000,229.858639
695.196529,1000,230.157229
696.453984,1000,230.471411
642.272961,1000,230.785087
653.106156,1000,231.08649
634.153682,1000,231.38585
664.706893,1000,231.699946
701.449856,1000,232.014639
726.915125,1000,232.325365
695.077689,1000,232.637624
652.499103,1000,232.949504
626.020357,1000,233.24876
630.93821,1000,233.552117
663.253362,1000,233.863793
649.80981,1000,234.163357
686.959143,1000,234.476004
707.596119,1000,234.788441
676.008335,1000,235.10326
675.777081,1000,235.417206
632.143597,1000,235.714589
637.351563,1000,236.014848
653.614411,1000,236.327
656.753226,1000,236.625176
657.146698,1000,236.938431
649.090977,1000,237.250634
644.975271,1000,237.548774
694.079284,1000,237.860808
666.65892,1000,238.160781
635.146666,1000,238.459604
699.302888,1000,238.775234
637.745843,1000,239.075771
639.020892,1000,239.386009
635.133117,1000,239.697191
676.291629,1000,240.011953
675.147046,1000,240.313323
673.697857,1000,240.625476
667.89122,1000,240.938217
699.854521,1000,241.240052
666.939074,1000,241.557798
651.693715,1000,241.876591
698.324919,1000,242.192143
672.408304,1000,242.506892
650.942996,1000,242.824714
655.855939,1000,243.126404
644.158706,1000,243.436923
