#{"t_start": 1701555576.22989, "env_id": "CartPole-v1"}
r,l,t
30.0,30,0.232576
21.0,21,0.234498
17.0,17,0.235336
18.0,18,0.236472
13.0,13,0.238253
28.0,28,0.239935
16.0,16,0.241144
18.0,18,0.242289
13.0,13,0.243484
34.0,34,0.24516
35.0,35,0.247691
36.0,36,0.249767
9.0,9,0.250659
14.0,14,0.251527
32.0,32,0.252993
34.0,34,0.254761
12.0,12,0.255656
19.0,19,0.25682
16.0,16,0.257813
10.0,10,0.258312
16.0,16,0.259561
18.0,18,0.260509
25.0,25,0.262185
24.0,24,0.299923
9.0,9,0.30148
19.0,19,0.302731
23.0,23,0.303999
24.0,24,0.305623
16.0,16,0.306577
54.0,54,0.309778
19.0,19,0.310921
41.0,41,0.313083
25.0,25,0.314731
13.0,13,0.315725
18.0,18,0.316555
19.0,19,0.317675
13.0,13,0.318902
35.0,35,0.320512
13.0,13,0.321098
20.0,20,0.32223
29.0,29,0.324331
14.0,14,0.325345
29.0,29,0.326823
15.0,15,0.327449
16.0,16,0.328796
13.0,13,0.329451
23.0,23,0.353003
13.0,13,0.354433
17.0,17,0.510468
11.0,11,0.511203
34.0,34,0.514105
22.0,22,0.515574
9.0,9,0.516558
18.0,18,0.517708
34.0,34,0.520176
34.0,34,0.522247
15.0,15,0.523595
19.0,19,0.524882
10.0,10,0.525774
16.0,16,0.526771
25.0,25,0.661064
31.0,31,0.663338
22.0,22,0.664722
14.0,14,0.666061
14.0,14,0.667201
17.0,17,0.668562
20.0,20,0.669867
14.0,14,0.670532
16.0,16,0.671763
14.0,14,0.672583
10.0,10,0.673192
9.0,9,0.673868
26.0,26,0.675992
9.0,9,0.682057
10.0,10,0.682674
20.0,20,0.683821
13.0,13,0.813444
25.0,25,0.815225
18.0,18,0.816286
16.0,16,0.817569
29.0,29,0.820327
13.0,13,0.82109
20.0,20,0.822528
15.0,15,0.823471
16.0,16,0.825007
31.0,31,0.827372
45.0,45,0.83054
16.0,16,0.831418
20.0,20,0.959287
38.0,38,0.962272
15.0,15,0.963555
55.0,55,0.966615
24.0,24,0.968277
29.0,29,0.971296
13.0,13,0.972476
11.0,11,0.973225
21.0,21,1.006768
17.0,17,1.008532
19.0,19,1.136296
30.0,30,1.138497
23.0,23,1.140526
18.0,18,1.141752
62.0,62,1.146437
14.0,14,1.147368
69.0,69,1.152648
51.0,51,1.281695
11.0,11,1.282374
13.0,13,1.283519
20.0,20,1.285098
13.0,13,1.286121
20.0,20,1.288628
21.0,21,1.289865
29.0,29,1.292448
17.0,17,1.293899
27.0,27,1.295578
20.0,20,1.362304
84.0,84,1.497216
19.0,19,1.499848
21.0,21,1.501297
28.0,28,1.502767
20.0,20,1.504697
45.0,45,1.508157
35.0,35,1.51052
38.0,38,1.513532
29.0,29,1.645216
16.0,16,1.646701
51.0,51,1.650932
45.0,45,1.654547
27.0,27,1.657187
38.0,38,1.733365
10.0,10,1.734194
32.0,32,1.737033
62.0,62,1.869487
73.0,73,1.875191
14.0,14,1.876252
69.0,69,1.882386
43.0,43,1.885571
16.0,16,1.886928
17.0,17,2.01604
69.0,69,2.02204
52.0,52,2.02621
21.0,21,2.027536
44.0,44,2.105679
40.0,40,2.108723
51.0,51,2.235442
19.0,19,2.237149
26.0,26,2.239202
54.0,54,2.244756
22.0,22,2.246483
15.0,15,2.247743
18.0,18,2.249168
22.0,22,2.250671
37.0,37,2.253343
20.0,20,2.366223
59.0,59,2.370952
24.0,24,2.372698
31.0,31,2.37534
14.0,14,2.376273
23.0,23,2.426768
22.0,22,2.428126
26.0,26,2.430291
61.0,61,2.552412
14.0,14,2.553773
86.0,86,2.560473
11.0,11,2.561866
41.0,41,2.564983
31.0,31,2.56717
18.0,18,2.568751
12.0,12,2.5697
14.0,14,2.57065
15.0,15,2.571801
18.0,18,2.685452
40.0,40,2.688904
17.0,17,2.690153
16.0,16,2.691347
32.0,32,2.693662
70.0,70,2.758534
8.0,8,2.759111
40.0,40,2.762154
90.0,90,2.921072
44.0,44,2.924509
64.0,64,2.929151
39.0,39,2.931935
12.0,12,2.93296
24.0,24,3.042995
16.0,16,3.04474
17.0,17,3.045802
18.0,18,3.047513
24.0,24,3.049855
26.0,26,3.051618
19.0,19,3.053233
14.0,14,3.054308
24.0,24,3.114188
73.0,73,3.118973
14.0,14,3.12003
16.0,16,3.230963
26.0,26,3.233421
29.0,29,3.23565
17.0,17,3.236928
62.0,62,3.242103
24.0,24,3.243669
39.0,39,3.246548
111.0,111,3.363391
23.0,23,3.367017
52.0,52,3.531624
12.0,12,3.532944
45.0,45,3.536266
12.0,12,3.537234
12.0,12,3.538735
27.0,27,3.540347
22.0,22,3.651106
39.0,39,3.65431
22.0,22,3.656494
25.0,25,3.658348
13.0,13,3.659133
18.0,18,3.660369
13.0,13,3.661525
14.0,14,3.662682
74.0,74,3.667682
26.0,26,3.669758
10.0,10,3.777529
47.0,47,3.781209
67.0,67,3.821487
15.0,15,3.822923
22.0,22,3.824758
23.0,23,3.826534
22.0,22,3.829128
12.0,12,3.830261
10.0,10,3.831338
11.0,11,3.832322
42.0,42,3.944404
17.0,17,3.946079
30.0,30,3.949005
